[INFO ] [2022-03-02 19:01:27,383] User_01_Register - Step 01: Open register page
[INFO ] [2022-03-02 19:01:28,218] User_01_Register - Step 02: Input firstName Textbox
[INFO ] [2022-03-02 19:01:28,452] User_01_Register - Step 03: Input lastName Textbox
[INFO ] [2022-03-02 19:01:28,638] User_01_Register - Step 04: Input Email Textbox
[INFO ] [2022-03-02 19:01:28,822] User_01_Register - Step 05: Input valid Password Textbox
[INFO ] [2022-03-02 19:01:29,004] User_01_Register - Step 06: Input valid ConfirmPassword Textbox
[INFO ] [2022-03-02 19:01:29,186] User_01_Register - Step 07: Click RegisterButton
[INFO ] [2022-03-02 19:01:30,245] User_01_Register - Step 08: Verify Register Success
[INFO ] [2022-03-02 19:01:30,316]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:01:30,316] User_01_Register - Step 09: Click Log out
[INFO ] [2022-03-02 19:01:31,268] User_01_Register - Step 10: Open Login Page
[INFO ] [2022-03-02 19:01:32,347] User_01_Register - Step 11: Input Email
[INFO ] [2022-03-02 19:01:32,598] User_01_Register - Step 12: Input Password
[INFO ] [2022-03-02 19:01:32,819] User_01_Register - Step 13: Click Login button
[INFO ] [2022-03-02 19:01:33,782] User_01_Register - Step 14: Vefify Login Success
[INFO ] [2022-03-02 19:01:33,916]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:01:33,916] User_01_Register - Step 15: Open MyAccount Page
[INFO ] [2022-03-02 19:01:34,627] User_01_Register - Step 16: Verify CustomerInfor Displayed
[INFO ] [2022-03-02 19:01:34,723]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:01:34,727] User_02_Register - Step 01: Open Address Page
[INFO ] [2022-03-02 19:01:35,472] User_02_Register - Step 02: Open MyProductReview Page
[INFO ] [2022-03-02 19:01:36,154] User_02_Register - Step 03: Open RewardPoint Page
[INFO ] [2022-03-02 19:01:36,854] User_02_Register - Step 04: Open Address Page
[INFO ] [2022-03-02 19:01:37,521] User_02_Register - Step 05: Open RewardPoint Page
[INFO ] [2022-03-02 19:01:38,162] User_02_Register - Step 06: Open MyProductReview Page
[INFO ] [2022-03-02 19:01:38,786] Post-Condition - Close Browser
[INFO ] [2022-03-02 19:03:14,428] User_01_Register - Step 01: Open register page
[INFO ] [2022-03-02 19:03:15,227] User_01_Register - Step 02: Input firstName Textbox
[INFO ] [2022-03-02 19:03:15,453] User_01_Register - Step 03: Input lastName Textbox
[INFO ] [2022-03-02 19:03:15,623] User_01_Register - Step 04: Input Email Textbox
[INFO ] [2022-03-02 19:03:15,830] User_01_Register - Step 05: Input valid Password Textbox
[INFO ] [2022-03-02 19:03:16,021] User_01_Register - Step 06: Input valid ConfirmPassword Textbox
[INFO ] [2022-03-02 19:03:16,220] User_01_Register - Step 07: Click RegisterButton
[INFO ] [2022-03-02 19:03:17,296] User_01_Register - Step 08: Verify Register Success
[INFO ] [2022-03-02 19:03:17,372]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:03:17,372] User_01_Register - Step 09: Click Log out
[INFO ] [2022-03-02 19:03:18,299] User_01_Register - Step 10: Open Login Page
[INFO ] [2022-03-02 19:03:19,033] User_01_Register - Step 11: Input Email
[INFO ] [2022-03-02 19:03:19,243] User_01_Register - Step 12: Input Password
[INFO ] [2022-03-02 19:03:19,433] User_01_Register - Step 13: Click Login button
[INFO ] [2022-03-02 19:03:20,318] User_01_Register - Step 14: Vefify Login Success
[INFO ] [2022-03-02 19:03:20,414]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:03:20,414] User_01_Register - Step 15: Open MyAccount Page
[INFO ] [2022-03-02 19:03:21,392] User_01_Register - Step 16: Verify CustomerInfor Displayed
[INFO ] [2022-03-02 19:03:21,494]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:03:21,499] User_02_Register - Step 01: Open Address Page
[INFO ] [2022-03-02 19:03:22,579] User_02_Register - Step 02: Open MyProductReview Page
[INFO ] [2022-03-02 19:03:23,265] User_02_Register - Step 03: Open RewardPoint Page
[INFO ] [2022-03-02 19:03:23,971] User_02_Register - Step 04: Open Address Page
[INFO ] [2022-03-02 19:03:24,649] User_02_Register - Step 05: Open RewardPoint Page
[INFO ] [2022-03-02 19:03:25,291] User_02_Register - Step 06: Open MyProductReview Page
[INFO ] [2022-03-02 19:03:25,928] Post-Condition - Close Browser
[INFO ] [2022-03-02 19:07:18,830] User_01_Register - Step 01: Open register page
[INFO ] [2022-03-02 19:07:19,572] User_01_Register - Step 02: Input firstName Textbox
[INFO ] [2022-03-02 19:07:19,790] User_01_Register - Step 03: Input lastName Textbox
[INFO ] [2022-03-02 19:07:19,989] User_01_Register - Step 04: Input Email Textbox
[INFO ] [2022-03-02 19:07:20,220] User_01_Register - Step 05: Input valid Password Textbox
[INFO ] [2022-03-02 19:07:20,410] User_01_Register - Step 06: Input valid ConfirmPassword Textbox
[INFO ] [2022-03-02 19:07:20,613] User_01_Register - Step 07: Click RegisterButton
[INFO ] [2022-03-02 19:07:21,608] User_01_Register - Step 08: Verify Register Success
[INFO ] [2022-03-02 19:07:21,686]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:07:21,686] User_01_Register - Step 09: Click Log out
[INFO ] [2022-03-02 19:07:22,576] User_01_Register - Step 10: Open Login Page
[INFO ] [2022-03-02 19:07:23,224] User_01_Register - Step 11: Input Email
[INFO ] [2022-03-02 19:07:23,457] User_01_Register - Step 12: Input Password
[INFO ] [2022-03-02 19:07:23,657] User_01_Register - Step 13: Click Login button
[INFO ] [2022-03-02 19:07:24,528] User_01_Register - Step 14: Vefify Login Success
[INFO ] [2022-03-02 19:07:24,622]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:07:24,622] User_01_Register - Step 15: Open MyAccount Page
[INFO ] [2022-03-02 19:07:25,236] User_01_Register - Step 16: Verify CustomerInfor Displayed
[INFO ] [2022-03-02 19:07:25,339]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-02 19:07:25,344] User_02_Register - Step 01: Open Address Page
[INFO ] [2022-03-02 19:07:25,997] User_02_Register - Step 02: Open MyProductReview Page
[INFO ] [2022-03-02 19:07:26,694] User_02_Register - Step 03: Open RewardPoint Page
[INFO ] [2022-03-02 19:07:27,355] User_02_Register - Step 04: Open Address Page
[INFO ] [2022-03-02 19:07:27,973] User_02_Register - Step 05: Open RewardPoint Page
[INFO ] [2022-03-02 19:07:28,563] User_02_Register - Step 06: Open MyProductReview Page
[INFO ] [2022-03-02 19:07:29,136] Post-Condition - Close Browser
[INFO ] [2022-03-03 10:24:36,399] User_01_Register - Step 01: Open register page
[INFO ] [2022-03-03 10:24:37,152] User_01_Register - Step 02: Input firstName Textbox
[INFO ] [2022-03-03 10:24:37,380] User_01_Register - Step 03: Input lastName Textbox
[INFO ] [2022-03-03 10:24:37,563] User_01_Register - Step 04: Input Email Textboxfc-1964010305@gmail.com
[INFO ] [2022-03-03 10:24:37,770] User_01_Register - Step 05: Input valid Password Textbox
[INFO ] [2022-03-03 10:24:37,959] User_01_Register - Step 06: Input valid ConfirmPassword Textbox
[INFO ] [2022-03-03 10:24:38,145] User_01_Register - Step 07: Click RegisterButton
[INFO ] [2022-03-03 10:24:39,184] User_01_Register - Step 08: Verify Register Success
[INFO ] [2022-03-03 10:24:39,256]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-03 10:24:39,256] User_01_Register - Step 09: Click Log out
[INFO ] [2022-03-03 10:24:40,222] User_01_Register - Step 10: Open Login Page
[INFO ] [2022-03-03 10:24:40,936] User_01_Register - Step 11: Input Email
[INFO ] [2022-03-03 10:24:41,121] User_01_Register - Step 12: Input Password
[INFO ] [2022-03-03 10:24:41,300] User_01_Register - Step 13: Click Login button
[INFO ] [2022-03-03 10:24:42,192] User_01_Register - Step 14: Vefify Login Success
[INFO ] [2022-03-03 10:24:42,276]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-03 10:24:42,276] User_01_Register - Step 15: Open MyAccount Page
[INFO ] [2022-03-03 10:24:42,932] User_01_Register - Step 16: Verify CustomerInfor Displayed
[INFO ] [2022-03-03 10:24:43,008]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-03 10:24:43,124] User_02_Register - Step 01: Open Address Page
[INFO ] [2022-03-03 10:24:43,819] User_02_Register - Step 02: Open MyProductReview Page
[INFO ] [2022-03-03 10:24:44,796] User_02_Register - Step 03: Open RewardPoint Page
[INFO ] [2022-03-03 10:24:47,085] User_02_Register - Step 04: Open Address Page
[INFO ] [2022-03-03 10:24:47,691] User_02_Register - Step 05: Open RewardPoint Page
[INFO ] [2022-03-03 10:24:48,270] User_02_Register - Step 06: Open MyProductReview Page
[INFO ] [2022-03-03 10:24:48,881] Post-Condition - Close Browser
[INFO ] [2022-03-03 15:51:22,968] User_01_Register - Step 01: Open register page
[INFO ] [2022-03-03 15:51:23,902] User_01_Register - Step 02: Input firstName Textbox
[INFO ] [2022-03-03 15:51:24,132] User_01_Register - Step 03: Input lastName Textbox
[INFO ] [2022-03-03 15:51:24,320] User_01_Register - Step 04: Input Email Textboxfc259714392@gmail.com
[INFO ] [2022-03-03 15:51:24,535] User_01_Register - Step 05: Input valid Password Textbox
[INFO ] [2022-03-03 15:51:24,718] User_01_Register - Step 06: Input valid ConfirmPassword Textbox
[INFO ] [2022-03-03 15:51:24,892] User_01_Register - Step 07: Click RegisterButton
[INFO ] [2022-03-03 15:51:25,926] User_01_Register - Step 08: Verify Register Success
[INFO ] [2022-03-03 15:51:26,030]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-03 15:51:26,030] User_01_Register - Step 09: Click Log out
[INFO ] [2022-03-03 15:51:27,021] User_01_Register - Step 10: Open Login Page
[INFO ] [2022-03-03 15:51:27,790] User_01_Register - Step 11: Input Email
[INFO ] [2022-03-03 15:51:28,012] User_01_Register - Step 12: Input Password
[INFO ] [2022-03-03 15:51:28,186] User_01_Register - Step 13: Click Login button
[INFO ] [2022-03-03 15:51:29,172] User_01_Register - Step 14: Vefify Login Success
[INFO ] [2022-03-03 15:51:29,290]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-03 15:51:29,290] User_01_Register - Step 15: Open MyAccount Page
[INFO ] [2022-03-03 15:51:30,071] User_01_Register - Step 16: Verify CustomerInfor Displayed
[INFO ] [2022-03-03 15:51:30,147]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-03 15:51:30,151] User_02_Register - Step 01: Open Address Page
[INFO ] [2022-03-03 15:51:30,949] User_02_Register - Step 02: Open MyProductReview Page
[INFO ] [2022-03-03 15:51:31,717] User_02_Register - Step 03: Open RewardPoint Page
[INFO ] [2022-03-03 15:51:32,420] User_02_Register - Step 04: Open Address Page
[INFO ] [2022-03-03 15:51:33,032] User_02_Register - Step 05: Open RewardPoint Page
[INFO ] [2022-03-03 15:51:33,650] User_02_Register - Step 06: Open MyProductReview Page
[INFO ] [2022-03-03 15:51:34,281] Post-Condition - Close Browser
[INFO ] [2022-03-03 16:19:13,842] User_01_Register - Step 01: Open register page
[INFO ] [2022-03-03 16:19:14,674] User_01_Register - Step 02: Input firstName Textbox
[INFO ] [2022-03-03 16:19:14,892] User_01_Register - Step 03: Input lastName Textbox
[INFO ] [2022-03-03 16:19:15,065] User_01_Register - Step 04: Input Email Textboxfc1569432130@gmail.com
[INFO ] [2022-03-03 16:19:15,272] User_01_Register - Step 05: Input valid Password Textbox
[INFO ] [2022-03-03 16:19:15,442] User_01_Register - Step 06: Input valid ConfirmPassword Textbox
[INFO ] [2022-03-03 16:19:15,616] User_01_Register - Step 07: Click RegisterButton
[INFO ] [2022-03-03 16:19:16,642] User_01_Register - Step 08: Verify Register Success
[INFO ] [2022-03-03 16:19:16,729]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-03-03 16:19:16,729] User_01_Register - Step 09: Click Log out
[INFO ] [2022-03-03 16:19:17,669] User_01_Register - Step 10: Open Login Page
[INFO ] [2022-03-03 16:19:18,387] User_01_Register - Step 11: Input Email
[INFO ] [2022-03-03 16:19:18,579] User_01_Register - Step 12: Input Password
